in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.6,0,0,0,102876031,50808085,1551159,0,36942103,0,13574684,50516787,382017221,380449255
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,102876031,50816712,1494023,0,36942103,0,13623193,50565296,2729625,1219685
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,102876031,50818327,1483032,0,36942103,0,13632569,50574672,2594080,1095520
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,102876031,50829685,1439663,0,36942103,0,13664580,50606683,2143504,693976
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.9,0,0,0,102876031,50855476,1290656,0,36942103,0,13787796,50729899,1527585,231959
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.95,0,0,0,102876031,50915176,969849,0,36942103,0,14048903,50991006,1045705,74837
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.65,0,0,0,102876031,50808752,1545340,0,36942103,0,13579836,50521939,381944269,380382132
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,1,0,0,0,102876031,51073999,0,0,36942103,0,14859929,51802032,0,0
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.7,0,0,0,102876031,50810043,1536505,0,36942103,0,13587380,50529483,342968407,341415246
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,0.55,0,0,0,96068462,51659804,580710,0,34573735,0,9254213,43827948,136592596,135996259
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,0.6,0,0,0,96068462,51660160,577883,0,34573735,0,9256684,43830419,136586275,135992772
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,96068462,51665186,554113,0,34573735,0,9275428,43849163,1046979,477843
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,96068462,51667252,543575,0,34573735,0,9283900,43857635,988321,430281
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,96068462,51675531,505808,0,34573735,0,9313388,43887123,763818,249312
fb_c,2048,1,ml,models/v7_fb_rfc.onnx,0.65,0,0,0,96068462,51660504,575073,0,34573735,0,9259150,43832885,136580535,135989846
