in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_h,2048,1,oracle,,1,0,0,0,322920612,275561583,5141702,0,29307352,0,12909975,42217327,5147885,6183
cf_g,2048,1,oracle,,1,0,0,0,305423259,255334319,5187066,0,30637283,0,14264591,44901874,5196916,9850
fb_a,2048,1,oracle,,1,0,0,0,50113746,33120246,356732,0,14705869,0,1930899,16636768,427244,70512
fb_a,2048,1,never,,1,0,0,0,50113746,33194501,0,0,14705869,0,2213376,16919245,0,0
cf_h,2048,1,never,,1,0,0,0,322920612,276288630,0,0,29307352,0,17324630,46631982,0,0
cf_g,2048,1,never,,1,0,0,0,305423259,256107404,0,0,30637283,0,18678572,49315855,0,0
fb_c,2048,1,never,,1,0,0,0,96068462,51768377,0,0,34573735,0,9726350,44300085,0,0
fb_b,2048,1,never,,1,0,0,0,102876031,51073999,0,0,36942103,0,14859929,51802032,0,0
fb_b,2048,1,oracle,,1,0,0,0,102876031,50926702,798667,0,36942103,0,14208559,51150662,950964,152297
fb_c,2048,1,oracle,,1,0,0,0,96068462,51687763,353106,0,34573735,0,9453858,44027593,470108,117002
wm_t,2048,1,never,,1,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
wm_t,2048,1,oracle,,1,0,0,0,197819321,147962620,19534922,0,17895056,0,12426723,30321779,19534922,0
cf_e,2048,1,never,,1,0,0,0,350792453,302232510,0,0,31410803,0,17149140,48559943,0,0
cf_e,2048,1,oracle,,1,0,0,0,350792453,301411947,5495974,0,31410803,0,12473729,43884532,5502355,6381
cf_e,2048,1,oracle,,1,0,0,0,350792453,301411947,5495974,0,31410803,0,12473729,43884532,5502355,6381
cf_f,2048,1,oracle,,1,0,0,0,390182208,337791077,5879175,0,32923596,0,13588360,46511956,5885148,5973
cf_f,2048,1,never,,1,0,0,0,390182208,338658196,0,0,32923596,0,18600416,51524012,0,0
cf_d,2048,1,oracle,,1,0,0,0,633171872,517358076,9309249,0,74905308,0,31599239,106504547,9477754,168505
cf_d,2048,1,never,,1,0,0,0,633171872,518741616,0,0,74905308,0,39524948,114430256,0,0
cf_b,2048,1,oracle,,1,0,0,0,737911396,655963682,8895231,0,45745872,0,27306611,73052483,8994232,99001
cf_a,2048,1,never,,1,0,0,0,611934080,546199566,0,0,39393977,0,26340537,65734514,0,0
cf_a,2048,1,never,,1,0,0,0,611934080,546199566,0,0,39393977,0,26340537,65734514,0,0
cf_b,2048,1,never,,1,0,0,0,737911396,657373304,0,0,45745872,0,34792220,80538092,0,0
cf_c,2048,1,never,,1,0,0,0,585034315,479891216,0,0,69164776,0,35978323,105143099,0,0
cf_c,2048,1,oracle,,1,0,0,0,585034315,478620672,8456595,0,69164776,0,28792272,97957048,8567006,110411
cf_a,2048,1,oracle,,1,0,0,0,611934080,545119848,6924041,0,39393977,0,20496214,59890191,6996852,72811
