in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,1,0,0,0,true,611934080,546199566,0,0,39393977,0,26340537,65734514,0,0
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.9,0,0,0,true,611934080,546116460,979505,0,39393977,0,25444138,64838115,1036098,54067
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.9,0,0,0,true,611934080,546116460,979505,0,39393977,0,25444138,64838115,1036098,54067
cf_c,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.85,0,0,0,true,585034315,479477969,3213822,0,69164776,0,33177748,102342524,3657535,427029
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.95,0,0,0,true,611934080,546186945,231218,0,39393977,0,26121940,65515917,234935,3533
cf_c,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.75,0,0,0,true,585034315,479148438,5026744,0,69164776,0,31694357,100859133,6369947,1312968
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.85,0,0,0,true,611934080,545879102,2733809,0,39393977,0,23927192,63321169,2984821,244421
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.8,0,0,0,true,611934080,545714207,3572362,0,39393977,0,23253534,62647511,4164775,579644
cf_c,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.9,0,0,0,true,585034315,479757860,1298761,0,69164776,0,34812918,103977694,1441998,133078
cf_c,2048,1,lru,ml,models/v9_cf_rfc.onnx,1,0,0,0,true,585034315,479891216,0,0,69164776,0,35978323,105143099,0,0
cf_c,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.95,0,0,0,true,585034315,479873466,222448,0,69164776,0,35773625,104938401,238561,14079
cf_c,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.7,0,0,0,true,585034315,478976508,5881497,0,69164776,0,31011534,100176310,10838306,4918191
cf_c,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.65,0,0,0,true,585034315,478670690,7605595,0,69164776,0,29593254,98758030,317013527,309354508
cf_c,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.8,0,0,0,true,585034315,479273021,4361276,0,69164776,0,32235242,101400018,5281064,895115
cf_e,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.95,0,0,0,true,350792453,302228599,172370,0,31410803,0,16980681,48391484,174778,2307
cf_e,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.9,0,0,0,true,350792453,302160538,821270,0,31410803,0,16399842,47810645,856780,34091
