in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_c,2048,1,arc,never,,1,0,0,0,true,585034315,474762214,0,0,69164776,0,41107325,110272101,0,0
cf_c,2048,1,arc,never,,1,0,0,0,true,585034315,474762214,0,0,69164776,0,41107325,110272101,0,0
cf_c,2048,1,fifo,never,,1,0,0,0,true,585034315,475263044,0,0,69164776,0,40606495,109771271,0,0
cf_d,2048,1,lru,never,,1,0,0,0,true,633171872,518741616,0,0,74905308,0,39524948,114430256,0,0
cf_b,2048,1,arc,never,,1,0,0,0,true,737911396,646888766,0,0,45745872,0,45276758,91022630,0,0
cf_b,2048,1,arc,never,,1,0,0,0,true,737911396,646888766,0,0,45745872,0,45276758,91022630,0,0
cf_b,2048,1,fifo,never,,1,0,0,0,true,737911396,651221117,0,0,45745872,0,40944407,86690279,0,0
cf_a,2048,1,sieve,never,,1,0,0,0,true,611934080,545055226,0,0,39393977,0,27484877,66878854,0,0
cf_b,2048,1,lru,never,,1,0,0,0,true,737911396,657373304,0,0,45745872,0,34792220,80538092,0,0
f_b,2048,1,sieve,never,,1,0,0,0,true,737911396,655757866,0,0,45745872,0,36407658,82153530,0,0
cf_a,2048,1,sieve,never,,1,0,0,0,true,611934080,545055226,0,0,39393977,0,27484877,66878854,0,0
cf_b,2048,1,lru,never,,1,0,0,0,true,737911396,657373304,0,0,45745872,0,34792220,80538092,0,0
f_b,2048,1,sieve,never,,1,0,0,0,true,737911396,655757866,0,0,45745872,0,36407658,82153530,0,0
cf_a,2048,1,gdsf,never,,1,0,0,0,true,611934080,552604459,0,0,39393977,0,19935644,59329621,0,0
cf_a,2048,1,sieve,never,,1,0,0,0,true,611934080,545055226,0,0,39393977,0,27484877,66878854,0,0
cf_b,2048,1,lru,never,,1,0,0,0,true,737911396,657373304,0,0,45745872,0,34792220,80538092,0,0
f_b,2048,1,sieve,never,,1,0,0,0,true,737911396,655757866,0,0,45745872,0,36407658,82153530,0,0
cf_a,2048,1,gdsf,never,,1,0,0,0,true,611934080,552604459,0,0,39393977,0,19935644,59329621,0,0
cf_a,2048,1,arc,never,,1,0,0,0,true,611934080,538902048,0,0,39393977,0,33638055,73032032,0,0
cf_a,2048,1,sieve,never,,1,0,0,0,true,611934080,545055226,0,0,39393977,0,27484877,66878854,0,0
cf_a,2048,1,sieve,never,,1,0,0,0,true,611934080,545055226,0,0,39393977,0,27484877,66878854,0,0
cf_b,2048,1,lru,never,,1,0,0,0,true,737911396,657373304,0,0,45745872,0,34792220,80538092,0,0
cf_a,2048,1,lru,never,,1,0,0,0,true,611934080,546199566,0,0,39393977,0,26340537,65734514,0,0
cf_a,2048,1,fifo,never,,1,0,0,0,true,611934080,541312490,0,0,39393977,0,31227613,70621590,0,0
cf_c,2048,1,gdsf,never,,1,0,0,0,true,585034315,488965192,0,0,69164776,0,26904347,96069123,0,0
cf_b,2048,1,gdsf,never,,1,0,0,0,true,737911396,665589799,0,0,45745872,0,26575725,72321597,0,0
