in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,8,ml,models/rfc_cf_all_v4.onnx,0.9,0,0,0,79445928,71282324,272699,0,4924988,0,2965917,7890905,290164,17047
cf_a,2048,8,ml,models/rfc_cf_all_v4.onnx,0.65,0,0,0,79445928,71195988,737993,0,4924988,0,2586959,7511947,1094723,351858
cf_a,2048,8,ml,models/rfc_cf_all_v4.onnx,0.8,0,0,0,79445928,71249614,447399,0,4924988,0,2823927,7748915,533223,84175
cf_a,2048,8,ml,models/rfc_cf_all_v4.onnx,0.85,0,0,0,79445928,71264700,371250,0,4924988,0,2884990,7809978,420805,48644
cf_a,2048,8,ml,models/rfc_cf_all_v4.onnx,0.85,0,0,0,79445928,71264700,371250,0,4924988,0,2884990,7809978,420805,48644
cf_a,2048,8,ml,models/rfc_cf_all_v4.onnx,0.75,0,0,0,79445928,71235155,529913,0,4924988,0,2755872,7680860,687333,155104
cf_a,2048,8,ml,models/rfc_cf_all_v4.onnx,0.7,0,0,0,79445928,71221193,601390,0,4924988,0,2698357,7623345,819997,215491
cf_c,2048,8,ml,models/rfc_cf_all_v4.onnx,0.7,0,0,0,94025982,80579876,925510,0,8642727,0,3877869,12520596,1233168,302040
cf_c,2048,8,ml,models/rfc_cf_all_v4.onnx,0.6,0,0,0,94025982,80522062,1203399,0,8642727,0,3657794,12300521,1891937,679064
cf_c,2048,8,ml,models/rfc_cf_all_v4.onnx,0.65,0,0,0,94025982,80546467,1080671,0,8642727,0,3756117,12398844,1586002,497289
cf_a,2048,8,ml,models/rfc_cf_all_v4.onnx,0.95,0,0,0,79445928,71300471,148350,0,4924988,0,3072119,7997107,151439,3037
cf_a,2048,8,ml,models/rfc_cf_all_v4.onnx,1,0,0,0,79445928,71312896,0,0,4924988,0,3208044,8133032,0,0
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,0.6,0,0,0,42492124,36346424,627408,0,3927654,0,1590638,5518292,945286,314056
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,0.55,0,0,0,42492124,36328183,742043,0,3927654,0,1494244,5421898,1265281,518279
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,0.7,0,0,0,42492124,36380548,443805,0,3927654,0,1740117,5667771,575006,129331
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,0.65,0,0,0,42492124,36359654,555034,0,3927654,0,1649782,5577436,786617,228600
cf_c,2048,8,ml,models/rfc_cf_all_v4.onnx,1,0,0,0,94025982,80712124,0,0,8642727,0,4671131,13313858,0,0
cf_c,2048,8,ml,models/rfc_cf_all_v4.onnx,0.75,0,0,0,94025982,80599397,824684,0,8642727,0,3959174,12601901,1037886,209075
cf_c,2048,8,ml,models/rfc_cf_all_v4.onnx,0.95,0,0,0,94025982,80697953,197600,0,8642727,0,4487702,13130429,205118,7052
cf_c,2048,8,ml,models/rfc_cf_all_v4.onnx,0.9,0,0,0,94025982,80663941,478513,0,8642727,0,4240801,12883528,516452,36545
cf_c,2048,8,ml,models/rfc_cf_all_v4.onnx,0.85,0,0,0,94025982,80638585,622729,0,8642727,0,4121941,12764668,706485,81575
cf_c,2048,8,ml,models/rfc_cf_all_v4.onnx,0.8,0,0,0,94025982,80616162,741913,0,8642727,0,4025180,12667907,890078,145102
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,0.75,0,0,0,42492124,36392632,376732,0,3927654,0,1795106,5722760,463324,85238
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,0.8,0,0,0,42492124,36402904,314106,0,3927654,0,1847460,5775114,364854,49808
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,0.85,0,0,0,42492124,36416654,245237,0,3927654,0,1902579,5830233,269484,23709
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,0.9,0,0,0,42492124,36429290,173909,0,3927654,0,1961271,5888925,182577,8423
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,0.95,0,0,0,42492124,36441328,87135,0,3927654,0,2036007,5963661,88743,1573
cf_e,2048,8,ml,models/rfc_cf_all_v4.onnx,1,0,0,0,42492124,36449184,0,0,3927654,0,2115286,6042940,0,0
cf_g,2048,8,ml,models/rfc_cf_all_v4.onnx,0.6,0,0,0,43402541,36945346,933044,0,3828322,0,1695829,5524151,1318476,381494
cf_g,2048,8,ml,models/rfc_cf_all_v4.onnx,0.65,0,0,0,43402541,36959337,846472,0,3828322,0,1768410,5596732,1135231,285547
cf_g,2048,8,ml,models/rfc_cf_all_v4.onnx,0.75,0,0,0,43402541,36994520,602894,0,3828322,0,1976805,5805127,733392,129106
cf_g,2048,8,ml,models/rfc_cf_all_v4.onnx,0.7,0,0,0,43402541,36981417,683559,0,3828322,0,1909243,5737565,859599,174133
cf_g,2048,8,ml,models/rfc_cf_all_v4.onnx,0.85,0,0,0,43402541,37022497,359285,0,3828322,0,2192437,6020759,391866,31990
