in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,1,0,0,0,611934080,552604459,0,0,39393977,0,19935644,59329621,0,0
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,737911396,656625311,5323992,0,45745872,0,30216221,75962093,6453047,1107407
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,737911396,656748683,4622340,0,45745872,0,30794501,76540373,5350504,712144
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,737911396,657359229,252418,0,45745872,0,34553877,80299749,255954,3361
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,737911396,656963762,3525069,0,45745872,0,31676693,77422565,3822188,288882
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,1,0,0,0,737911396,657373304,0,0,45745872,0,34792220,80538092,0,0
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,737911396,657219692,1751335,0,45745872,0,33194497,78940369,1824835,70284
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,737911396,655586430,1719560,0,45745872,0,34859534,80605406,1794667,71971
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,737911396,655322913,3456588,0,45745872,0,33386023,79131895,3756774,292331
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,737911396,655082560,4557279,0,45745872,0,32525685,78271557,5293305,720976
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,737911396,655742113,250415,0,45745872,0,36172996,81918868,253969,3379
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,1,0,0,0,737911396,655757866,0,0,45745872,0,36407658,82153530,0,0
cf_b,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,737911396,649879639,5323633,0,45745872,0,36962252,82708124,6492078,1155522
cf_b,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,737911396,648288887,4642622,0,45745872,0,39234015,84979887,5555683,907835
cf_b,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,737911396,648117413,2877013,0,45745872,0,41171098,86916970,3084003,205431
cf_b,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,737911396,648227457,3859355,0,45745872,0,40078712,85824584,4396801,534039
cf_b,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,737911396,647630472,1303902,0,45745872,0,43231150,88977022,1348240,43876
cf_b,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,737911396,650212982,4288175,0,45745872,0,37664367,83410239,5016439,718740
cf_b,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,737911396,646986657,143312,0,45745872,0,45035555,90781427,145362,2035
cf_b,2048,1,arc,ml,models/v8_cf_rfc.onnx,1,0,0,0,737911396,646888766,0,0,45745872,0,45276758,91022630,0,0
cf_b,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,737911396,650530646,3098368,0,45745872,0,38536510,84282382,3391957,288877
cf_b,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,737911396,650865694,1484318,0,45745872,0,39815512,85561384,1558182,71833
cf_b,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,737911396,651164120,202019,0,45745872,0,40799385,86545257,205473,3323
cf_b,2048,1,fifo,ml,models/v8_cf_rfc.onnx,1,0,0,0,737911396,651221117,0,0,45745872,0,40944407,86690279,0,0
cf_c,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,585034315,479133827,5115861,0,69164776,0,31619851,100784627,6483432,1338983
cf_c,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,585034315,479279322,4363396,0,69164776,0,32226821,101391597,5258569,871591
cf_b,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,737911396,664854061,5332930,0,45745872,0,21978533,67724405,6462740,1105972
cf_c,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,585034315,479491757,3120458,0,69164776,0,33257324,102422100,3533753,396986
cf_c,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,585034315,479744144,1329895,0,69164776,0,34795500,103960276,1472891,132738
cf_c,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,585034315,479874876,169279,0,69164776,0,35825384,104990160,181581,10732
cf_c,2048,1,lru,ml,models/v8_cf_rfc.onnx,1,0,0,0,585034315,479891216,0,0,69164776,0,35978323,105143099,0,0
cf_b,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,737911396,664973412,4627046,0,45745872,0,22565066,68310938,5355556,711349
cf_b,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,737911396,665184512,3526473,0,45745872,0,23454539,69200411,3823547,288550
cf_b,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,737911396,665437861,1751392,0,45745872,0,24976271,70722143,1824876,70247
cf_b,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,1,0,0,0,737911396,665589799,0,0,45745872,0,26575725,72321597,0,0
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,737911396,654925148,5309421,0,45745872,0,31930955,77676827,6469678,1140275
cf_b,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,737911396,665575974,252402,0,45745872,0,26337148,72083020,255938,3361
cf_c,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,585034315,478218226,5035323,0,69164776,0,32615990,101780766,6400064,1339401
cf_c,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,585034315,478370149,4266478,0,69164776,0,33232912,102397688,5158417,870520
cf_c,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,585034315,478581355,3043736,0,69164776,0,34244448,103409224,3457672,398950
cf_c,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,585034315,478838740,1283702,0,69164776,0,35747097,104911873,1428569,135450
cf_c,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,585034315,478982354,167943,0,69164776,0,36719242,105884018,180289,10784
cf_c,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,585034315,475232588,4580843,0,69164776,0,36056108,105220884,5729442,1135585
cf_c,2048,1,sieve,ml,models/v8_cf_rfc.onnx,1,0,0,0,585034315,478998609,0,0,69164776,0,36870930,106035706,0,0
cf_c,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,585034315,475279932,2621766,0,69164776,0,37967841,107132617,2919040,291300
cf_c,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,585034315,475218600,972349,0,69164776,0,39678590,108843366,1060946,85139
cf_c,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,585034315,475290408,3767236,0,69164776,0,36811895,105976671,4456625,680296
cf_c,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,585034315,474003086,4805362,0,69164776,0,37061091,106225867,6174501,1353454
cf_c,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,585034315,474596027,2618141,0,69164776,0,38655371,107820147,3023422,396934
cf_c,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,585034315,474327475,3817123,0,69164776,0,37724941,106889717,4690333,861296
cf_c,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,585034315,474826818,108060,0,69164776,0,40934661,110099437,115714,6569
cf_c,2048,1,arc,ml,models/v8_cf_rfc.onnx,1,0,0,0,585034315,474762214,0,0,69164776,0,41107325,110272101,0,0
cf_c,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,585034315,475227910,149250,0,69164776,0,40492379,109657155,161620,10942
cf_c,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,585034315,474902953,987682,0,69164776,0,39978904,109143680,1132485,139497
cf_c,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,585034315,488265013,5140274,0,69164776,0,22464252,91629028,6507711,1332749
cf_c,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,585034315,488595056,3127001,0,69164776,0,24147482,93312258,3539616,394776
cf_c,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,585034315,488393987,4379789,0,69164776,0,23095763,92260539,5274731,867326
cf_c,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,585034315,488835561,1330886,0,69164776,0,25703092,94867868,1473533,132102
cf_d,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,633171872,518127552,4457377,0,74905308,0,35681635,110586943,5403703,920598
cf_d,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,633171872,517934646,5585641,0,74905308,0,34746277,109651585,7081177,1464041
cf_c,2048,1,fifo,ml,models/v8_cf_rfc.onnx,1,0,0,0,585034315,475263044,0,0,69164776,0,40606495,109771271,0,0
cf_d,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,633171872,518335469,3323198,0,74905308,0,36607897,111513205,3752262,411490
cf_d,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,633171872,518596190,1449026,0,74905308,0,38221348,113126656,1591024,131632
cf_c,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,1,0,0,0,585034315,488965192,0,0,69164776,0,26904347,96069123,0,0
cf_c,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,585034315,488951811,169229,0,69164776,0,26748499,95913275,181517,10718
cf_d,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,633171872,518725810,186796,0,74905308,0,39353958,114259266,197604,10307
cf_d,2048,1,lru,ml,models/v8_cf_rfc.onnx,1,0,0,0,633171872,518741616,0,0,74905308,0,39524948,114430256,0,0
cf_d,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,633171872,517605008,184097,0,74905308,0,40477459,115382767,194935,10349
cf_d,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,633171872,517405625,1356011,0,74905308,0,39504928,114410236,1501860,137082
cf_d,2048,1,sieve,ml,models/v8_cf_rfc.onnx,1,0,0,0,633171872,517625130,0,0,74905308,0,40641434,115546742,0,0
cf_d,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,633171872,516916628,4262669,0,74905308,0,37087267,111992575,5207549,923284
cf_d,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,633171872,517124669,3163046,0,74905308,0,37978849,112884157,3594727,417225
cf_d,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,633171872,516700295,5450979,0,74905308,0,36115290,111020598,6950373,1472423
cf_d,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,633171872,514200568,5038612,0,74905308,0,39027384,113932692,6270506,1216152
