in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb_b,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,102876031,50683258,450408,0,36942103,0,14800262,51742365,691506,233387
fb_b,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,102876031,50703806,379838,0,36942103,0,14850284,51792387,485094,101207
fb_b,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,102876031,50746239,27012,0,36942103,0,15160677,52102780,31727,3829
fb_b,2048,1,sieve,ml,models/v8_fb_rfc.onnx,1,0,0,0,102876031,50747988,0,0,36942103,0,15185940,52128043,0,0
fb_a,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,50113746,34325269,600417,0,14705869,0,482191,15188060,636731616,636116708
fb_a,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,50113746,34322941,619874,0,14705869,0,465062,15170931,767553048,766916394
fb_a,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,50113746,34410850,154836,0,14705869,0,842191,15548060,183958,26014
fb_a,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,50113746,34406014,183723,0,14705869,0,818140,15524009,251110,60078
fb_a,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,50113746,34430571,12207,0,14705869,0,965099,15670968,13684,830
fb_a,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,50113746,34319656,633912,0,14705869,0,454309,15160178,845350529,844695886
fb_b,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,102876031,45503917,460973,0,36942103,0,19969038,56911141,712357,239578
fb_b,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,102876031,45457021,43034,0,36942103,0,20433873,57375976,50716,6039
fb_b,2048,1,arc,ml,models/v8_fb_rfc.onnx,1,0,0,0,102876031,45430262,0,0,36942103,0,20503666,57445769,0,0
fb_b,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,102876031,45487734,392448,0,36942103,0,20053746,56995849,530318,131157
fb_b,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,102876031,49774485,422864,0,36942103,0,15736579,52678682,658568,229731
fb_b,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,102876031,49804612,343544,0,36942103,0,15785772,52727875,444019,98062
fb_b,2048,1,fifo,ml,models/v8_fb_rfc.onnx,1,0,0,0,102876031,49860601,0,0,36942103,0,16073327,53015430,0,0
fb_b,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,102876031,49860407,147,0,36942103,0,16073374,53015477,316,165
fb_c,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,96068462,51723611,185275,0,34573735,0,9585841,44159576,311800,118728
fb_c,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,96068462,51733123,153554,0,34573735,0,9608050,44181785,214955,56953
fb_b,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,102876031,50500072,1487017,0,36942103,0,13946839,50888942,227132060,225629311
fb_c,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,96068462,51754319,33340,0,34573735,0,9707068,44280803,42996,8393
fb_c,2048,1,lru,ml,models/v8_fb_rfc.onnx,1,0,0,0,96068462,51768377,0,0,34573735,0,9726350,44300085,0,0
fb_c,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,96068462,51664222,545642,0,34573735,0,9284863,43858598,83613548,83052998
fb_b,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,102876031,50495521,1537904,0,36942103,0,13900503,50842606,273233655,271679714
fb_c,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,96068462,51662400,564895,0,34573735,0,9267432,43841167,100075675,99495440
fb_b,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,102876031,50494120,1548856,0,36942103,0,13890952,50833055,303841787,302276732
fb_c,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,96068462,51661302,572415,0,34573735,0,9261010,43834745,110501417,109913533
fb_b,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,102876031,49584255,1467988,0,36942103,0,14881685,51823788,237998035,236515620
fb_b,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,102876031,49579008,1519792,0,36942103,0,14835128,51777231,286551375,285016789
fb_c,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,96068462,59632497,279149,0,34573735,0,1583081,36156816,406861,97675
fb_c,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,96068462,59684807,53444,0,34573735,0,1756476,36330211,59535,3292
fb_b,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,102876031,45458192,1528976,0,36942103,0,18946760,55888863,323685700,322135699
fb_c,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,1,0,0,0,96068462,59704316,0,0,34573735,0,1790411,36364146,0,0
fb_c,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,96068462,59650936,208855,0,34573735,0,1634936,36208671,259970,39001
fb_b,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,102876031,49577580,1530380,0,36942103,0,14825968,51768071,319045964,317500682
fb_c,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,96068462,51471307,192733,0,34573735,0,9830687,44404422,314290,113869
fb_c,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,96068462,51483423,154227,0,34573735,0,9857077,44430812,207276,48920
fb_c,2048,1,sieve,ml,models/v8_fb_rfc.onnx,1,0,0,0,96068462,51509894,0,0,34573735,0,9984833,44558568,0,0
fb_c,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,96068462,51506246,24115,0,34573735,0,9964366,44538101,27767,2715
fb_b,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,102876031,45456429,1590703,0,36942103,0,18886796,55828899,396608697,394995135
fb_c,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,96068462,51405664,589042,0,34573735,0,9500021,44073756,111879027,111273605
fb_c,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,96068462,46917260,208912,0,34573735,0,14368555,48942290,330090,110282
fb_c,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,96068462,46896699,170896,0,34573735,0,14427132,49000867,236613,59644
fb_b,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,102876031,45461799,1599201,0,36942103,0,18872928,55815031,443251939,441628858
fb_c,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,96068462,51408815,561065,0,34573735,0,9524847,44098582,84353102,83776327
fb_c,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,96068462,51406704,581388,0,34573735,0,9506635,44080370,101112578,100514939
fb_c,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,96068462,46870894,34936,0,34573735,0,14588897,49162632,39272,3096
fb_c,2048,1,arc,ml,models/v8_fb_rfc.onnx,1,0,0,0,96068462,46848993,0,0,34573735,0,14645734,49219469,0,0
fb_c,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,96068462,50739215,176716,0,34573735,0,10578796,45152531,307453,124363
fb_c,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,96068462,50808901,235,0,34573735,0,10685591,45259326,417,173
fb_c,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,96068462,50763357,131512,0,34573735,0,10599858,45173593,187334,53130
fb_c,2048,1,fifo,ml,models/v8_fb_rfc.onnx,1,0,0,0,96068462,50809244,0,0,34573735,0,10685483,45259218,0,0
fb_c,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,96068462,46950651,576045,0,34573735,0,13968031,48541766,120086039,119491984
fb_c,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,96068462,50666796,553474,0,34573735,0,10274457,44848192,88543265,87974563
