in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,611934080,546188914,192496,0,39393977,0,26158693,65552670,195262,2633
cf_a,2048,1,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,611934080,546077707,1358891,0,39393977,0,25103505,64497482,1415611,54453
cf_a,2048,1,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,611934080,545887258,2685736,0,39393977,0,23967109,63361086,2919332,227811
cf_a,2048,1,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,611934080,545725847,3521930,0,39393977,0,23292326,62686303,4084613,551180
cf_c,2048,1,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,585034315,479279322,4363396,0,69164776,0,32226821,101391597,5258569,871591
cf_c,2048,1,ml,models/v8_cf_rfc.onnx,0.7,0,0,0,585034315,478892666,6321845,0,69164776,0,30655028,99819804,9292831,2935163
cf_a,2048,1,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,611934080,545628584,4097618,0,39393977,0,22813901,62207878,4981401,868362
cf_a,2048,1,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,611934080,545628584,4097618,0,39393977,0,22813901,62207878,4981401,868362
cf_a,2048,1,ml,models/v8_cf_rfc.onnx,0.7,0,0,0,611934080,545375380,5486071,0,39393977,0,21678652,61072629,7866005,2359087
cf_c,2048,1,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,585034315,479133827,5115861,0,69164776,0,31619851,100784627,6483432,1338983
cf_c,2048,1,ml,models/v8_cf_rfc.onnx,0.65,0,0,0,585034315,478457418,9336969,0,69164776,0,28075152,97239928,76337120,66942154
cf_e,2048,1,ml,models/v8_cf_rfc.onnx,0.7,0,0,0,350792453,301661207,3809364,0,31410803,0,13911079,45321882,5156466,1335203
cf_e,2048,1,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,350792453,301899543,2340548,0,31410803,0,15141559,46552362,2673390,326098
cf_e,2048,1,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,350792453,301813467,2953157,0,31410803,0,14615026,46025829,3559769,597325
cf_c,2048,1,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,585034315,479744144,1329895,0,69164776,0,34795500,103960276,1472891,132738
cf_c,2048,1,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,585034315,479874876,169279,0,69164776,0,35825384,104990160,181581,10732
cf_c,2048,1,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,585034315,479491757,3120458,0,69164776,0,33257324,102422100,3533753,396986
cf_c,2048,1,ml,models/v8_cf_rfc.onnx,1,0,0,0,585034315,479891216,0,0,69164776,0,35978323,105143099,0,0
