in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_g,2048,1,oracle,,3,0,0,0,305423259,254874876,9612587,0,30637283,0,10298513,40935796,13365711,3753124
cf_f,2048,1,oracle,,8,0,0,0,390182208,337032509,12116528,0,32923596,0,8109575,41033171,25765070,13648542
cf_f,2048,1,oracle,,12,0,0,0,390182208,336938148,12820073,0,32923596,0,7500391,40423987,32450772,19630699
cf_g,2048,1,oracle,,8,0,0,0,305423259,254631008,11741555,0,30637283,0,8413413,39050696,24597779,12856224
cf_g,2048,1,oracle,,4,0,0,0,305423259,254792698,10309139,0,30637283,0,9684139,40321422,16011029,5701890
cf_g,2048,1,oracle,,6,0,0,0,305423259,254687410,11208615,0,30637283,0,8889951,39527234,20785275,9576660
cf_f,2048,1,oracle,,16,0,0,0,390182208,336883180,13207875,0,32923596,0,7167557,40091153,37588664,24380789
fb_a,2048,1,oracle,,1,0,0,0,50113746,33077852,700579,0,14705869,0,1629446,16335315,774926,74347
fb_a,2048,1,oracle,,2,0,0,0,50113746,33068254,788362,0,14705869,0,1551261,16257130,989209,200847
fb_a,2048,1,oracle,,3,0,0,0,50113746,33066115,821422,0,14705869,0,1520340,16226209,1096377,274955
fb_a,2048,1,oracle,,4,0,0,0,50113746,33065691,846182,0,14705869,0,1496004,16201873,1196671,350489
fb_a,2048,1,oracle,,6,0,0,0,50113746,33064790,872285,0,14705869,0,1470802,16176671,1330616,458331
fb_a,2048,1,oracle,,8,0,0,0,50113746,33064109,894266,0,14705869,0,1449502,16155371,1474633,580367
fb_a,2048,1,oracle,,12,0,0,0,50113746,33063188,914417,0,14705869,0,1430272,16136141,1662856,748439
fb_a,2048,1,oracle,,16,0,0,0,50113746,33062863,924357,0,14705869,0,1420657,16126526,1787197,862840
cf_h,2048,1,oracle,,1,0,0,0,322920612,275578932,6849280,0,29307352,0,11185048,40492400,7028611,179331
fb_b,2048,1,oracle,,1,0,0,0,102876031,50824008,1671880,0,36942103,0,13438040,50380143,1890930,219050
fb_b,2048,1,oracle,,2,0,0,0,102876031,50814868,1851604,0,36942103,0,13267456,50209559,2278770,427166
fb_b,2048,1,oracle,,3,0,0,0,102876031,50811324,1935596,0,36942103,0,13187008,50129111,2526570,590974
cf_g,2048,1,oracle,,12,0,0,0,305423259,254570822,12409162,0,30637283,0,7805992,38443275,31534822,19125660
cf_g,2048,1,oracle,,16,0,0,0,305423259,254536503,12784559,0,30637283,0,7464914,38102197,36994259,24209700
cf_h,2048,1,oracle,,3,0,0,0,322920612,275214208,9483164,0,29307352,0,8915888,38223240,13057339,3574175
cf_h,2048,1,oracle,,3,0,0,0,322920612,275214208,9483164,0,29307352,0,8915888,38223240,13057339,3574175
cf_h,2048,1,oracle,,4,0,0,0,322920612,275135585,10133704,0,29307352,0,8343971,37651323,15432780,5299076
cf_h,2048,1,oracle,,2,0,0,0,322920612,275351000,8538364,0,29307352,0,9723896,39031248,10423134,1884770
cf_h,2048,1,oracle,,6,0,0,0,322920612,275038459,10982216,0,29307352,0,7592585,36899937,19771674,8789458
fb_b,2048,1,oracle,,4,0,0,0,102876031,50807020,1996640,0,36942103,0,13130268,50072371,2754200,757560
fb_b,2048,1,oracle,,6,0,0,0,102876031,50805018,2070646,0,36942103,0,13058264,50000367,3138760,1068114
cf_h,2048,1,oracle,,12,0,0,0,322920612,274915019,12126120,0,29307352,0,6572121,35879473,29593226,17467106
fb_b,2048,1,oracle,,8,0,0,0,102876031,50801805,2126354,0,36942103,0,13005769,49947872,3493750,1367396
cf_h,2048,1,oracle,,8,0,0,0,322920612,274981998,11478425,0,29307352,0,7152837,36460189,23230788,11752363
cf_h,2048,1,oracle,,16,0,0,0,322920612,274884428,12477649,0,29307352,0,6251183,35558535,34612100,22134451
fb_c,2048,1,oracle,,1,0,0,0,96068462,51664717,646561,0,34573735,0,9183449,43757184,805374,158813
fb_c,2048,1,oracle,,2,0,0,0,96068462,51657706,713030,0,34573735,0,9123991,43697726,965149,252119
fb_b,2048,1,oracle,,12,0,0,0,102876031,50796223,2172719,0,36942103,0,12964986,49907089,3883808,1711089
fb_c,2048,1,oracle,,4,0,0,0,96068462,51653425,758412,0,34573735,0,9082890,43656625,1115799,357387
fb_c,2048,1,oracle,,3,0,0,0,96068462,51653947,742179,0,34573735,0,9098601,43672336,1052077,309898
fb_c,2048,1,oracle,,12,0,0,0,96068462,51648148,807997,0,34573735,0,9038582,43612317,1439813,631816
fb_c,2048,1,oracle,,6,0,0,0,96068462,51649966,780753,0,34573735,0,9064008,43637743,1226827,446074
fb_c,2048,1,oracle,,8,0,0,0,96068462,51649228,793654,0,34573735,0,9051845,43625580,1309772,516118
fb_b,2048,1,oracle,,16,0,0,0,102876031,50795125,2193935,0,36942103,0,12944868,49886971,4143924,1949989
fb_c,2048,1,oracle,,16,0,0,0,96068462,51647609,816355,0,34573735,0,9030763,43604498,1544949,728594
wm_t,2048,1,oracle,,1,0,0,0,197819321,147962620,19537169,0,17895056,0,12424476,30319532,19537169,0
wm_t,2048,1,oracle,,2,0,0,0,197819321,147198656,24669216,0,17895056,0,8056393,25951449,29343746,4674530
wm_t,2048,1,oracle,,3,0,0,0,197819321,146855174,27367839,0,17895056,0,5701252,23596308,37012598,9644759
wm_t,2048,1,oracle,,4,0,0,0,197819321,146669069,29050107,0,17895056,0,4205089,22100145,43380089,14329982
wm_t,2048,1,oracle,,6,0,0,0,197819321,146482598,31068707,0,17895056,0,2372960,20268016,53771284,22702577
wm_t,2048,1,oracle,,8,0,0,0,197819321,146406577,32159970,0,17895056,0,1357718,19252774,61528668,29368698
wm_t,2048,1,oracle,,16,0,0,0,197819321,146333828,33541111,0,17895056,0,49326,17944382,76343409,42802298
wm_t,2048,1,oracle,,12,0,0,0,197819321,146348388,33198463,0,17895056,0,377414,18272470,71683805,38485342
