infile,capacity_mb,key_sample_ratio,evict_expired,rv_enable,rv_min_ttl,rv_min_freq,rv_max_zone_amp,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_e,2048,1,true,true,30,5,2,350792453,301844997,1579353,0,31410803,0,15957300,47368103,2731329,1125631
cf_g,2048,1,true,true,1,7,2,305423259,255640959,1372575,0,30637283,0,17772442,48409725,2473805,1066901
fb23_c,2048,1,true,true,120,3,2,96069531,37207769,804285,0,34573902,0,23483575,58057477,3351658,2544010
cf_e,2048,1,true,true,60,4,2,350792453,301789748,1802443,0,31410803,0,15789459,47200262,2965081,1130394
fb23_b,2048,1,true,true,1,7,2,102880352,32525020,251569,0,36942641,0,33161122,70103763,764981,512664
fb23_b,2048,1,true,true,60,1,2,102880352,32254499,3025236,0,36942641,0,30657976,67600617,68024735,64922155
fb23_c,2048,1,true,true,60,8,2,96069531,37299381,230457,0,34573902,0,23965791,58539693,675206,444101
cf_a,2048,1,true,true,120,1,2,611934080,545022186,5503369,0,39393977,0,22014548,61408525,20619548,14927140
cf_a,2048,1,true,true,60,7,2,611934080,545782264,1853757,0,39393977,0,24904082,64298059,2642260,778417
cf_c,2048,1,true,true,60,2,2,585034315,478601467,4875986,0,69164776,0,32392086,101556862,11224919,6252749
fb23_a,2048,1,true,true,120,3,2,50114817,26028943,426775,0,14706046,0,8953053,23659099,1439940,1011677
cf_e,2048,1,true,true,5,2,2,350792453,301455636,3596971,0,31410803,0,14329043,45739846,8948220,5288979
cf_g,2048,1,true,true,5,4,2,305423259,255502859,2063175,0,30637283,0,17219942,47857225,4428093,2302131
fb23_c,2048,1,true,true,30,7,2,96069531,37294008,270415,0,34573902,0,23931206,58505108,852003,580794
cf_c,2048,1,true,true,45,5,2,585034315,479264889,2495473,0,69164776,0,34109177,103273953,3772295,1247337
fb23_b,2048,1,true,true,120,3,2,102880352,32448992,790928,0,36942641,0,32697791,69640432,3250744,2456837
fb23_a,2048,1,true,true,120,1,2,50114817,25945425,1237060,0,14706046,0,8226286,22932332,22789821,21527194
fb23_b,2048,1,true,true,15,4,2,102880352,32483436,543468,0,36942641,0,32910807,69853448,1960232,1414972
fb23_a,2048,1,true,true,1,4,2,50114817,26047989,309513,0,14706046,0,9051269,23757315,868164,557860
fb23_b,2048,1,true,true,45,6,2,102880352,32516268,310319,0,36942641,0,33111124,70053765,976495,665251
cf_g,2048,1,true,true,45,6,2,305423259,255631986,1267779,0,30637283,0,17886211,48523494,2027289,718895
fb23_b,2048,1,true,true,15,2,2,102880352,32380044,1348484,0,36942641,0,32209183,69151824,9761674,8405071
cf_g,2048,1,true,true,15,7,2,305423259,255647546,1291978,0,30637283,0,17846452,48483735,2188144,861837
fb23_c,2048,1,true,true,120,8,2,96069531,37299381,230457,0,34573902,0,23965791,58539693,675206,444101
fb23_b,2048,1,true,true,1,3,2,102880352,32448897,791759,0,36942641,0,32697055,69639696,3251680,2456942
fb23_a,2048,1,true,true,60,2,2,50114817,25996495,662616,0,14706046,0,8749660,23455706,4012583,3346531
fb23_a,2048,1,true,true,60,4,2,50114817,26047997,309448,0,14706046,0,9051326,23757372,868023,557784
cf_e,2048,1,true,true,120,6,2,350792453,301901578,1228235,0,31410803,0,16251837,47662640,1946173,695637
fb23_a,2048,1,true,true,45,1,2,50114817,25945425,1237060,0,14706046,0,8226286,22932332,22789824,21527197
cf_a,2048,1,true,true,15,4,2,611934080,545543508,3479936,0,39393977,0,23516659,62910636,5187259,1686179
cf_a,2048,1,true,true,15,2,2,611934080,545136338,5528775,0,39393977,0,21874990,61268967,10799949,5209557
cf_c,2048,1,true,true,120,2,2,585034315,478643535,4599700,0,69164776,0,32626304,101791080,10710457,6014581
fb23_c,2048,1,true,true,5,8,2,96069531,37299375,230578,0,34573902,0,23965676,58539578,675438,444212
fb23_a,2048,1,true,true,1,1,2,50114817,25944544,1292281,0,14706046,0,8171946,22877992,24099017,22781169
fb23_c,2048,1,true,true,15,8,2,96069531,37299375,230578,0,34573902,0,23965676,58539578,675438,444212
cf_c,2048,1,true,true,15,5,2,585034315,479201628,2990927,0,69164776,0,33676984,102841760,4323870,1303455
fb23_a,2048,1,true,true,5,5,2,50114817,26060400,233615,0,14706046,0,9114756,23820802,602225,368049
cf_e,2048,1,true,true,15,5,2,350792453,301844671,1582695,0,31410803,0,15954284,47365087,2734831,1125791
cf_e,2048,1,true,true,1,8,2,350792453,301941723,1090444,0,31410803,0,16349483,47760286,1891916,784135
fb23_b,2048,1,true,true,60,8,2,102880352,32530193,214428,0,36942641,0,33193090,70135731,632592,417531
cf_e,2048,1,true,true,30,6,2,350792453,301891482,1335903,0,31410803,0,16154265,47565068,2269658,911453
cf_c,2048,1,true,true,60,8,2,585034315,479440898,1634685,0,69164776,0,34793956,103958732,2262734,611793
fb23_a,2048,1,true,true,60,7,2,50114817,26074044,151282,0,14706046,0,9183445,23889491,384530,232890
cf_e,2048,1,true,true,30,4,2,350792453,301773393,1938958,0,31410803,0,15669299,47080102,3468854,1497648
cf_e,2048,1,true,true,5,8,2,350792453,301943246,1063053,0,31410803,0,16375351,47786154,1859949,779559
fb23_a,2048,1,true,true,60,5,2,50114817,26060403,233602,0,14706046,0,9114766,23820812,602183,368020
fb23_b,2048,1,true,true,120,4,2,102880352,32483463,543159,0,36942641,0,32911089,69853730,1959899,1414948
fb23_b,2048,1,true,true,1,2,2,102880352,32380044,1349133,0,36942641,0,32208534,69151175,9767288,8410036
cf_c,2048,1,true,true,60,3,2,585034315,478945572,3721729,0,69164776,0,33202238,102367014,6750340,2972962
cf_c,2048,1,true,true,60,7,2,585034315,479399676,1852979,0,69164776,0,34616884,103781660,2616535,744153
fb23_b,2048,1,true,true,15,3,2,102880352,32448897,791744,0,36942641,0,32697070,69639711,3251618,2456895
fb23_b,2048,1,true,true,5,7,2,102880352,32525020,251569,0,36942641,0,33161122,70103763,764981,512664
fb23_a,2048,1,true,true,1,6,2,50114817,26068076,187445,0,14706046,0,9153250,23859296,481303,293416
cf_c,2048,1,true,true,15,2,2,585034315,478474587,5707439,0,69164776,0,31687513,100852289,12838627,7034988
cf_e,2048,1,true,true,60,8,2,350792453,301948459,963390,0,31410803,0,16469801,47880604,1516484,535757
cf_e,2048,1,true,true,15,4,2,350792453,301772953,1943019,0,31410803,0,15665678,47076481,3473214,1497947
cf_c,2048,1,true,true,120,1,2,585034315,477627591,6482927,0,69164776,0,31759021,100923797,30693107,23930571
cf_c,2048,1,true,true,60,4,2,585034315,479138699,2995324,0,69164776,0,33735516,102900292,4829786,1795471
cf_c,2048,1,true,true,60,6,2,585034315,479343106,2131919,0,69164776,0,34394514,103559290,3099088,943745
fb23_a,2048,1,true,true,120,6,2,50114817,26068076,187442,0,14706046,0,9153253,23859299,481274,293390
cf_g,2048,1,true,true,120,5,2,305423259,255596510,1442377,0,30637283,0,17747089,48384372,2358193,866255
cf_c,2048,1,true,true,120,8,2,585034315,479444980,1582610,0,69164776,0,34841949,104006725,2190053,591187
fb23_b,2048,1,true,true,45,8,2,102880352,32530193,214428,0,36942641,0,33193090,70135731,632592,417531
cf_e,2048,1,true,true,30,2,2,350792453,301475102,3441632,0,31410803,0,14464916,45875719,7905062,4401164
fb23_b,2048,1,true,true,120,7,2,102880352,32525023,251491,0,36942641,0,33161197,70103838,764900,512661
