in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,arc,never,,1,0,0,0,false,348839958,309796969,0,1189727,21824172,8736284,7292806,29116978,0,0
cf_a,2048,1,fifo,never,,1,0,0,0,false,348839958,308416568,0,1159924,21824172,7456202,9983092,31807264,0,0
cf_a,2048,1,sieve,never,,1,0,0,0,false,348839958,310925340,0,1186765,21824172,8185990,6717691,28541863,0,0
cf_a,2048,1,lru,never,,1,0,0,0,false,348839958,311624263,0,1191834,21824172,8312517,5887172,27711344,0,0
cf_a,2048,1,gdsf,never,,1,0,0,0,false,348839958,315609738,0,1192999,21824172,9915807,297242,22121414,0,0
cf_c,2048,1,fifo,never,,1,0,0,0,false,333449962,265471054,0,1341701,40609706,9950404,16077097,56686803,0,0
cf_b,2048,1,fifo,never,,1,0,0,0,false,420659969,369289800,0,1795006,25968327,10229339,13377497,39345824,0,0
cf_b,2048,1,sieve,never,,1,0,0,0,false,420659969,372283843,0,1824620,25968327,11370405,9212774,35181101,0,0
cf_b,2048,1,lru,never,,1,0,0,0,false,420659969,373154964,0,1828535,25968327,11553192,8154951,34123278,0,0
cf_b,2048,1,arc,never,,1,0,0,0,false,420659969,370696877,0,1824344,25968327,12417623,9752798,35721125,0,0
cf_b,2048,1,gdsf,never,,1,0,0,0,false,420659969,378013766,0,1829887,25968327,14325682,522307,26490634,0,0
cf_c,2048,1,sieve,never,,1,0,0,0,false,333449962,267931033,0,1573934,40609706,11030941,12304348,52914054,0,0
cf_c,2048,1,arc,never,,1,0,0,0,false,333449962,266484596,0,1582825,40609706,11865629,12907206,53516912,0,0
cf_e,2048,1,lru,never,,1,0,0,0,false,200069953,172743860,0,531847,17220044,6864703,2709499,19929543,0,0
cf_e,2048,1,sieve,never,,1,0,0,0,false,200069953,172292125,0,532635,17220044,6767316,3257833,20477877,0,0
cf_d,2048,1,fifo,never,,1,0,0,0,false,360809964,289219127,0,1743834,42324238,9913893,17608872,59933110,0,0
cf_d,2048,1,lru,never,,1,0,0,0,false,360809964,292572355,0,2034395,42324238,11229508,12649468,54973706,0,0
cf_e,2048,1,fifo,never,,1,0,0,0,false,200069953,170733657,0,527923,17220044,6375242,5213087,22433131,0,0
cf_e,2048,1,arc,never,,1,0,0,0,false,200069953,172381710,0,531482,17220044,6908564,3028153,20248197,0,0
cf_f,2048,1,lru,never,,1,0,0,0,false,222299938,192210664,0,1050705,18257731,7701795,3079043,21336774,0,0
cf_f,2048,1,sieve,never,,1,0,0,0,false,222299938,191725683,0,1048561,18257731,7595794,3672169,21929900,0,0
cf_d,2048,1,sieve,never,,1,0,0,0,false,360809964,291885694,0,2055330,42324238,11048153,13496549,55820787,0,0
cf_d,2048,1,arc,never,,1,0,0,0,false,360809964,290809453,0,2046257,42324238,12008631,13621385,55945623,0,0
cf_f,2048,1,fifo,never,,1,0,0,0,false,222299938,190033254,0,1044359,18257731,7187983,5776611,24034342,0,0
cf_g,2048,1,sieve,never,,1,0,0,0,false,173849872,145396461,0,215157,17390854,7346010,3501390,20892244,0,0
cf_f,2048,1,arc,never,,1,0,0,0,false,222299938,191763644,0,1049203,18257731,7742594,3486766,21744497,0,0
cf_g,2048,1,lru,never,,1,0,0,0,false,173849872,145706241,0,215754,17390854,7452880,3084143,20474997,0,0
cf_g,2048,1,fifo,never,,1,0,0,0,false,173849872,144196732,0,206822,17390854,6874102,5181362,22572216,0,0
cf_g,2048,1,arc,never,,1,0,0,0,false,173849872,144972246,0,214235,17390854,7498056,3774481,21165335,0,0
cf_h,2048,1,lru,never,,1,0,0,0,false,183539538,156878336,0,350016,16577098,7317294,2416794,18993892,0,0
cf_h,2048,1,sieve,never,,1,0,0,0,false,183539538,156588209,0,348906,16577098,7198189,2827136,19404234,0,0
fb_a,2048,1,lru,never,,1,0,0,0,false,28499313,18670131,0,0,8608661,588130,632391,9241052,0,0
cf_e,2048,1,gdsf,never,,1,0,0,0,false,200069953,174815608,0,532115,17220044,7457302,44884,17264928,0,0
cf_h,2048,1,fifo,never,,1,0,0,0,false,183539538,155467831,0,342556,16577098,6737688,4414365,20991463,0,0
fb_a,2048,1,sieve,never,,1,0,0,0,false,28499313,18573343,0,0,8608661,580122,737187,9345848,0,0
fb_a,2048,1,arc,never,,1,0,0,0,false,28499313,17856185,0,0,8608661,544589,1489878,10098539,0,0
fb_a,2048,1,fifo,never,,1,0,0,0,false,28499313,18431538,0,0,8608661,569188,889926,9498587,0,0
fb_a,2048,1,gdsf,never,,1,0,0,0,false,28499313,19234534,0,0,8608661,640654,15464,8624125,0,0
cf_h,2048,1,arc,never,,1,0,0,0,false,183539538,156451288,0,348826,16577098,7426148,2736178,19313276,0,0
fb_b,2048,1,lru,never,,1,0,0,0,false,58707607,28567783,0,0,21974553,1325573,6839698,28814251,0,0
fb_b,2048,1,fifo,never,,1,0,0,0,false,58707607,27831454,0,0,21974553,1296207,7605393,29579946,0,0
fb_b,2048,1,sieve,never,,1,0,0,0,false,58707607,28383149,0,0,21974553,1323868,7026037,29000590,0,0
fb_b,2048,1,arc,never,,1,0,0,0,false,58707607,24944544,0,0,21974553,1129136,10659374,32633927,0,0
