in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,50113746,33170122,155417,0,14705869,0,2082338,16788207,186744,27551
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,50113746,33189784,12588,0,14705869,0,2205505,16911374,14449,1031
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,102876031,50996747,442568,0,36942103,0,14494613,51436716,691674,240402
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,102876031,51016552,376300,0,36942103,0,14541076,51483179,489577,108666
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,102876031,51059956,31902,0,36942103,0,14842070,51784173,43165,10274
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,1,0,0,0,102876031,51073999,0,0,36942103,0,14859929,51802032,0,0
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,50113746,33165809,182574,0,14705869,0,2059494,16765363,254864,64446
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,0.55,0,0,0,96068462,51651311,601424,0,34573735,0,9241992,43815727,137089305,136472012
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,0.6,0,0,0,96068462,51656025,590767,0,34573735,0,9247935,43821670,136935821,136329245
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,50113746,33085238,596724,0,14705869,0,1725915,16431784,230612090,230003715
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,96068462,51662400,564895,0,34573735,0,9267432,43841167,100075675,99495440
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,96068462,51661302,572415,0,34573735,0,9261010,43834745,110501417,109913533
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,0.65,0,0,0,96068462,51660148,578100,0,34573735,0,9256479,43830214,136660001,136066214
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,1,0,0,0,50113746,33194501,0,0,14705869,0,2213376,16919245,0,0
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,96068462,51723611,185275,0,34573735,0,9585841,44159576,311800,118728
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,102876031,50816340,1474087,0,36942103,0,13643501,50585604,224555978,223065699
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,102876031,50810424,1535188,0,36942103,0,13588316,50530419,299494847,297943060
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,96068462,51733123,153554,0,34573735,0,9608050,44181785,214955,56953
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,50113746,33082970,614680,0,14705869,0,1710227,16416096,278265393,277637683
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,96068462,51664222,545642,0,34573735,0,9284863,43858598,83613548,83052998
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,50113746,33079971,625504,0,14705869,0,1702402,16408271,312335930,311695143
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,0.65,0,0,0,50113746,33076894,636465,0,14705869,0,1694518,16400387,408672241,408018376
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,0.6,0,0,0,50113746,33074799,646410,0,14705869,0,1686668,16392537,408960138,408294940
fb_a,2048,1,ml,models/v8_fb_rfc.onnx,0.55,0,0,0,50113746,33073562,654015,0,14705869,0,1680300,16386169,409241317,408567901
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,96068462,51754319,33340,0,34573735,0,9707068,44280803,42996,8393
fb_c,2048,1,ml,models/v8_fb_rfc.onnx,1,0,0,0,96068462,51768377,0,0,34573735,0,9726350,44300085,0,0
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,0.65,0,0,0,102876031,50808150,1548897,0,36942103,0,13576881,50518984,382062037,380496229
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,0.6,0,0,0,102876031,50804831,1568011,0,36942103,0,13561086,50503189,382348113,380763108
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,0.55,0,0,0,102876031,50803000,1581113,0,36942103,0,13549815,50491918,382566055,380967871
fb_b,2048,1,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,102876031,50811942,1524495,0,36942103,0,13597491,50539594,270004017,268463052
