in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.95,0,0,0,50113746,25666177,66468,0,14705869,0,9675232,24381101,149280,82809
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.9,0,0,0,50113746,25661337,113956,0,14705869,0,9632584,24338453,459356,345395
fb_b,2048,1,ml,models/rfc_fb_all_v4.onnx,0.8,0,0,0,102876031,30704161,1007196,0,36942103,0,34222571,71164674,146306918,145299621
fb_b,2048,1,ml,models/rfc_fb_all_v4.onnx,0.85,0,0,0,102876031,30742109,287836,0,36942103,0,34903983,71846086,1443246,1155371
fb_b,2048,1,ml,models/rfc_fb_all_v4.onnx,0.9,0,0,0,102876031,30744760,259236,0,36942103,0,34929932,71872035,1139073,879805
fb_b,2048,1,ml,models/rfc_fb_all_v4.onnx,0.95,0,0,0,102876031,30758463,129101,0,36942103,0,35046364,71988467,331304,202195
fb_b,2048,1,ml,models/rfc_fb_all_v4.onnx,1,0,0,0,102876031,30773838,0,0,36942103,0,35160090,72102193,0,0
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.85,0,0,0,50113746,25660221,126924,0,14705869,0,9620732,24326601,602250,475312
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.8,0,0,0,50113746,25653399,325983,0,14705869,0,9428495,24134364,58799377,58473358
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.65,0,0,0,50113746,25637390,2182558,0,14705869,0,7587929,22293798,2626427615,2624244731
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.7,0,0,0,50113746,25639470,2139718,0,14705869,0,7628689,22334558,1897781876,1895641976
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.75,0,0,0,50113746,25641309,2115976,0,14705869,0,7650592,22356461,1347530498,1345414383
fb_b,2048,1,ml,models/rfc_fb_all_v4.onnx,0.75,0,0,0,102876031,30664903,5533262,0,36942103,0,29735763,66677866,3972151428,3966617167
fb_b,2048,1,ml,models/rfc_fb_all_v4.onnx,0.65,0,0,0,102876031,30656490,5679483,0,36942103,0,29597955,66540058,4705749455,4700068297
fb_b,2048,1,ml,models/rfc_fb_all_v4.onnx,0.6,0,0,0,102876031,30654771,5709237,0,36942103,0,29569920,66512023,4978204628,4972493667
fb_c,2048,1,ml,models/rfc_fb_all_v4.onnx,0.8,0,0,0,96068462,36437610,379148,0,34573735,0,24677969,59251704,51700996,51321734
fb_c,2048,1,ml,models/rfc_fb_all_v4.onnx,0.85,0,0,0,96068462,36445182,185050,0,34573735,0,24864495,59438230,728775,543677
fb_c,2048,1,ml,models/rfc_fb_all_v4.onnx,0.9,0,0,0,96068462,36449264,154223,0,34573735,0,24891240,59464975,538094,383847
fb_c,2048,1,ml,models/rfc_fb_all_v4.onnx,0.95,0,0,0,96068462,36457887,83482,0,34573735,0,24953358,59527093,183250,99762
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.55,0,0,0,197819321,146714915,28463813,0,17895056,0,4745537,22640593,104185704,71646093
fb_c,2048,1,ml,models/rfc_fb_all_v4.onnx,1,0,0,0,96068462,36469060,0,0,34573735,0,25025667,59599402,0,0
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.5,0,0,0,197819321,146451015,31434006,0,17895056,0,2039244,19934300,150212021,112219323
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.7,0,0,0,197819321,148067363,17941581,0,17895056,0,13915321,31810377,27644702,9054930
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.6,0,0,0,197819321,146714953,28463430,0,17895056,0,4745882,22640938,104180183,71641288
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.65,0,0,0,197819321,146744711,28225934,0,17895056,0,4953620,22848676,102479755,70249938
fb_c,2048,1,ml,models/rfc_fb_all_v4.onnx,0.75,0,0,0,96068462,36422605,1973070,0,34573735,0,23099052,57672787,1259442104,1257468529
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.75,0,0,0,197819321,148137359,17548300,0,17895056,0,14238606,32133662,26863191,8687466
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.8,0,0,0,197819321,148564653,15177042,0,17895056,0,16182570,34077626,21493475,5876597
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.85,0,0,0,197819321,148600919,14970146,0,17895056,0,16353200,34248256,21035440,5639682
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.9,0,0,0,197819321,148681925,14511332,0,17895056,0,16731008,34626064,20023344,5114767
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,0.95,0,0,0,197819321,149457216,10370499,0,17895056,0,20096550,37991606,12256517,1715124
wm_t,2048,1,ml,models/rfc_fb_all_v4.onnx,1,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.5,0,0,0,50113746,25631918,2320128,0,14705869,0,7455831,22161700,5505102825,5502781733
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.6,0,0,0,50113746,25635152,2214042,0,14705869,0,7558683,22264552,4021216244,4019001763
fb_a,2048,1,ml,models/rfc_fb_all_v4.onnx,0.55,0,0,0,50113746,25633750,2299758,0,14705869,0,7474369,22180238,5186258804,5183958311
fb_c,2048,1,ml,models/rfc_fb_all_v4.onnx,0.7,0,0,0,96068462,36420411,2000304,0,34573735,0,23074012,57647747,2149732905,2147732003
fb_c,2048,1,ml,models/rfc_fb_all_v4.onnx,0.65,0,0,0,96068462,36413699,2092875,0,34573735,0,22988153,57561888,2998626646,2996532817
